truth_index,truth_label,method,grid_index,radius,angle_degrees,h_x,h_y,truth_delta,mean_estimated_delta,mse_across_datasets,coverage95,mean_width95
0,low,Linear,18,26.830352681245163,45.0,18.971924322535124,18.97192432253512,1.7141897897267726,1.7130162434988956,0.00017349149947068346,0.96,0.06176337317064196
0,low,Linear,19,26.830352681245163,67.5,10.26753145562479,24.78801369226173,1.7529188583111832,1.75098897396106,0.00014431555144836045,0.99,0.060541514384046466
0,low,Linear,20,26.830352681245163,90.0,1.6428852765540747e-15,26.830352681245163,1.7612328927903969,1.7579219849747614,0.00012769190435656458,0.97,0.05826029737942691
0,low,Linear,21,26.830352681245163,112.5,-10.267531455624788,24.78801369226173,1.7374838173633242,1.7324665639328147,0.00012768714569725688,0.97,0.05770030237613911
0,low,Linear,22,26.830352681245163,135.0,-18.97192432253512,18.971924322535124,1.6874914539203865,1.6809773914868245,0.00013974156911036382,0.99,0.05618427118125832
0,low,Linear,23,26.830352681245163,157.5,-24.78801369226173,10.267531455624791,1.6346925198211908,1.628227814243379,0.00015331673669232592,1.0,0.05485564734501972
0,low,Linear,24,32.352426879602135,0.0,32.352426879602135,0.0,1.7104393944862364,1.7061052913293222,0.00017285597726949333,0.96,0.06004225738167609
0,low,Linear,25,32.352426879602135,22.5,29.889745021132406,12.380737763626737,1.7483642473175016,1.7464588601054436,0.0001820076694455507,0.92,0.062392245622648
0,low,Linear,26,32.352426879602135,45.0,22.876620434408608,22.876620434408604,1.801918150063237,1.8006109839913982,0.00015218667340238202,0.96,0.05771124906708845
0,low,Linear,27,32.352426879602135,67.5,12.380737763626739,29.889745021132406,1.8371926831384502,1.835260442667304,0.00011598542819414947,0.99,0.05421863832554318
0,low,Linear,28,32.352426879602135,90.0,1.981014801137677e-15,32.352426879602135,1.8445490740524797,1.8414335247508433,0.00010152177786980087,0.97,0.05170154233640373
0,low,Linear,29,32.352426879602135,112.5,-12.380737763626735,29.889745021132406,1.82332743895856,1.8185963473674644,0.0001082922914279461,0.97,0.052768191603789184
0,low,Linear,30,32.352426879602135,135.0,-22.876620434408604,22.876620434408608,1.776714926345297,1.7703301725470881,0.0001310526077300784,0.99,0.05408277302683549
0,low,Linear,31,32.352426879602135,157.5,-29.889745021132406,12.38073776362674,1.7250005127698538,1.7183964427063398,0.0001566710607057187,1.0,0.055216235018248065
0,low,Linear,32,37.38680114692877,0.0,37.38680114692877,0.0,1.779006585409809,1.774709070834553,0.0001610760935006674,0.96,0.05782111028768668
0,low,Linear,33,37.38680114692877,22.5,34.540900365716986,14.307309388057776,1.8147541474652422,1.8128025090515125,0.0001588674898852863,0.92,0.058097611266804794
0,low,Linear,34,37.38680114692877,45.0,26.436460617866327,26.436460617866324,1.8630675289337089,1.861720122182899,0.00011829798768216533,0.96,0.05073956352474321
0,low,Linear,35,37.38680114692877,67.5,14.307309388057778,34.540900365716986,1.893228549032851,1.89142339301015,8.208600991953297e-05,0.99,0.045551039167475625
0,low,Linear,36,37.38680114692877,90.0,2.2892813177472453e-15,37.38680114692877,1.8993248410945878,1.8965770620378144,7.099471204450426e-05,0.97,0.04301062182522347
0,low,Linear,37,37.38680114692877,112.5,-14.307309388057774,34.540900365716986,1.8815498869139091,1.8773561846515896,8.111901955024496e-05,0.97,0.04533220703207829
0,low,Linear,38,37.38680114692877,135.0,-26.436460617866324,26.436460617866327,1.840675684146736,1.8347718829128163,0.00010932058255454416,0.99,0.04908106939778682
0,low,Linear,39,37.38680114692877,157.5,-34.540900365716986,14.30730938805778,1.792867352447306,1.7864824807530146,0.00014328846664993832,1.0,0.05256703226510109
0,low,Linear,40,42.678458852212536,0.0,42.678458852212536,0.0,1.8376219217929552,1.8335485591930976,0.00013606251175270946,0.96,0.05298586703364322
0,low,Linear,41,42.678458852212536,22.5,39.429754612684306,16.332339121616943,1.8695375948058865,1.8676326291764342,0.0001241069895712132,0.92,0.051133495285511116
0,low,Linear,42,42.678458852212536,45.0,30.178227664990523,30.17822766499052,1.9104588563499756,1.9091567271862617,8.042011593096302e-05,0.96,0.04167893895615137
0,low,Linear,43,42.678458852212536,67.5,16.332339121616947,39.429754612684306,1.9344018028184844,1.9328298161058697,4.984498643003804e-05,0.99,0.03542769440588354
0,low,Linear,44,42.678458852212536,90.0,2.6133019012952052e-15,42.678458852212536,1.9390608500580033,1.9368073973537951,4.2470087611971915e-05,0.97,0.033054788374832535
